SONG NAME,YEAR,ALBUM/MOVIE NAME,DURATION,TYPE,LINK,LANGUAGE,GENRE,SINGERS,RATING
Sanwala Mahi,2017,Sanwala Mahi,4:52,Party Song,https://gaana.com/song/sanwla-mahi?autoplay=true,PUNJABI,Party,NAUMAN KHALID,6.8
sardara,2017,Sardara,3:06,Traditional,https://gaana.com/song/sardara-6?autoplay=true,PUNJABI,Other,NEHA KAKKAR,6.5
Saree Wali Girl,2014,Saree Wali Girl,3:19,Item Pop,https://gaana.com/song/saree-wali-girl?autoplay=true,PUNJABI,Pop,ASHISH SARDANA,6.5
HOW DEEP IS YOUR LOVE,1977,SATURDAY NIGHT FEVER,4:05,SOFT ROCK,https://gaana.com/song/how-deep-is-your-love-546,ENGLISH,Pop,EMINEM,7.2
Aai Bhavani,2004,Savarkhed Ek Gaon,0:05:05,Religious,https://www.jiosaavn.com/song/aai-bhavani/CAM8YjlFYUI,MARATHI,Devotional,SHAAN,8.8
Sawaal 2,2019,Sawaal,5:22,Sad,https://gaana.com/song/sawal-2-1?autoplay=true,PUNJABI,life,HARDY SANDHU,7
Tappe,1992,Sehra,6:57,Sad,https://gaana.com/song/tappe-88,PUNJABI,life,DILPREET DHILLON,6
Mere ram rahey,1993,Shabad Gurbani,14:38,Devotional,https://gaana.com/song/mere-ram-rahey,PUNJABI,Devotional,SUKHWINDER SINGH,5
Hum Bewafa Hargiz Na The,1978,Shalimar,2:07,love,https://gaana.com/song/hum-bewafa-hargiz-na-thay,HINDI,Love,KISHOR KUMAR,7.3
Dekh Aasman Mein,1959,Shararat,3:24,retro song,https://gaana.com/song/dekh-aasman-men-chand-muskuraye,HINDI,Other,KISHOR KUMAR,7
Hum Matawale Naujawan,1959,Shararat,3:21,retro song,https://gaana.com/song/hum-matwale-naujawan,HINDI,Other,KISHOR KUMAR,7
Khilte Hai Gul Yahan,1973,Sharmeelee,4:50,retro song,https://gaana.com/song/khilte-hain-gul-yahan-1,HINDI,Other,KISHOR KUMAR,8
Aaj Madhosh Hua Jaye re,1971,Sharmili,4:55,retro song,https://gaana.com/song/aaj-madhosh-hua-jaye-re,HINDI,Other,LATA MANGESHKAR,8.3
IF I CAN'T HAVE YOU,2018,SHAWN MENDES,3:12,POP,https://gaana.com/song/if-i-cant-have-you-365,ENGLISH,Pop,OTHERS,10
SENORITA,2019,SHAWN MENDES,3:11,LATIN,https://gaana.com/song/senorita-17,ENGLISH,Other,TAYLOR SWIFT,10
TALK,2019,SHAWN MENDES,3:17,POP,https://gaana.com/song/talk-302,ENGLISH,Pop,OTHERS,6.2
Sheesha down,2016,Sheeshan Down,3:27,rock,https://gaana.com/song/sheesha-down?autoplay=true,PUNJABI,Pop,DILPREET DHILLON,6
singga,2019,Sheh,4:12,Romantic,https://gaana.com/artist/ellde-fazilka,PUNJABI,Love,YO YO HONEY SINGH,7
Yeh Dosti Hum Nahin Todenge,1975,Sholay,5:22,retro song,https://gaana.com/song/yeh-dosti-hum-nahin-happy,HINDI,Other,KISHOR KUMAR,8.8
Shoon Shaan,2015,Shoon shaan,2:13,Rock,https://gaana.com/song/shoon-shaan?autoplay=true,PUNJABI,Pop,DILJIT DOSANJH,7.5
Show Match Ft. Fateh,2016,Show Match,4:01,Rock,https://gaana.com/artist/fateh,PUNJABI,Pop,DILPREET DHILLON,6.5
Bhatukalichya Khela,1991,Shukratara Mandwara,0:05:54,Sad,https://www.jiosaavn.com/song/bhatukalichya-khela-madhali-raja-anik-rani/RAo5WA5cdXE,MARATHI,life,ANAND SHINDE,8.5
Shapat Tula Aahe,1991,Shukratara Mandwara,0:05:54,Sad,https://www.jiosaavn.com/song/shapat-tula-aahe/F1AhWEBYbXI,MARATHI,life,NILESH MOHARIR,7.7
Aankh Marey,2019,Simmba,3:33,rock,https://gaana.com/song/aankh-marey,HINDI,Pop,NEHA KAKKAR,8.1
“Pehli Pehli Baar Mohabbat Ki Hai”,1991,Sirf Tum,7:40,love,https://gaana.com/song/pehli-pehli-baar-mohabbat-ki-hai,HINDI,Love,KUMAR SANU,8.5
WHERE ARE U NOW,2015,SKRILLEX AND DIPLO PRESENT JACK U,3:10,EDM,https://gaana.com/song/where-are-u-now-7,ENGLISH,Party,JUSTIN BIEBER,8
