SR NO,SONG NAME,YEAR,ALBUM/MOVIE NAME,DURATION,TYPE,LINK,LANGUAGE,GENRE,SINGERS,RATING
558,Chil Chil Chilla Ke,1962,Half Ticket,4:17,entertaining,https://gaana.com/song/chil-chil-chilla-ke,HINDI,Other,Kishor Kumar,8.1
559,Hamare Sang Sang Chale Ganga Ki Lahare,1964,Ganga Ki Lahare,3:38,retro song,https://gaana.com/song/hamare-sang-sang-chale,HINDI,Other,Lata Mangeshkar,6.8
560,Ajanabi tum jane pahechane se lagate ho,1965,Hum Sab Ustad Hai,4:06,retro song,https://gaana.com/song/ajnabi-tum-jane-pehchane-se-1,HINDI,Other,Kishor Kumar,7
561,Ek Sawal hai,1965,Bhut Bungala,4:45,retro song,https://gaana.com/song/ek-sawaal-hai,HINDI,Other,Kishor Kumar,6.4
562,Gata Rahe Mera dil,1965,Guide,4:53,retro song,https://gaana.com/song/gata-rahe-mera-dil-from-guideinstrumental,HINDI,Other,Lata Mangeshkar,8
563,Din Jawani Ke Char Yar,1966,Pyar Kiya Ja,5:02,retro song,https://gaana.com/song/din-jawani-ke-chaar,HINDI,Other,Kishor Kumar,7.6
564,Aasaman ke neeche,1967,Jewel Thief,3:56,retro song,https://gaana.com/song/aasman-ke-neeche-2,HINDI,Other,Lata Mangeshkar,8.3
565,Duriyaa Nazdikiyan ban Gayi,1968,Duriya,5:13,retro song,https://gaana.com/song/dooriyan-nazdikiyan-ban-gayi,HINDI,Other,Asha Bhosale,7.9
566,Ek Chatur Naar Karake Singar,1968,Padosan,6:22,retro song,https://gaana.com/song/ek-chatur-naar-karke-sringar-3,HINDI,Other,Kishor Kumar,7.9
567,Hawaaon Pe Likh Do,1968,Do Duni Char,3:25,retro song,https://gaana.com/song/hawaon-pe-likhdo-hawaon-ke-naam,HINDI,Other,Kishor Kumar,8.7
568,Aaj na chhodenge,1970,Kati patang,5:16,retro song,https://gaana.com/song/aaj-na-chhodenge-1,HINDI,Other,Kishor Kumar,8.3
569,Achha to hum chalte hain,1970,Aan Milo Sajana,4:59,retro song,https://gaana.com/song/achha-to-hum-chalte-hain-1,HINDI,Other,Lata Mangeshkar,8.7
570,Chal Shuru Ho Ja,1970,Hamjoli,6:46,retro song,https://gaana.com/song/chal-shuru-ho-ja,HINDI,Other,Kishor Kumar,7.5
571,Dil Sachaa Aur Chehra Jhutha,1970,Sachaa Jhoota,4:02,retro song,https://gaana.com/song/dil-sachaa-aur-chehra-jhutha-2,HINDI,Other,Kishor Kumar,8.3
572,Guni Jano Bhakt Jano,1970,Aasoon Aur Muskan,5:32,retro song,https://gaana.com/song/guni-jano-bhakt-jano,HINDI,Other,Kishor Kumar,8.2
573,Aaj Madhosh Hua Jaye re,1971,Sharmili,4:55,retro song,https://gaana.com/song/aaj-madhosh-hua-jaye-re,HINDI,Other,Lata Mangeshkar,8.3
574,Aap yahan aaye kisliye,1971,kal aaj aur kal,6:53,retro song,https://gaana.com/song/aap-yahan-aaye-kisliye,HINDI,Other,Asha Bhosale,8.9
575,teri yaad ne maara,1971,Albela,3:46,retro song,https://gaana.com/song/teri-yaad-ne-mara,HINDI,Other,Kishor Kumar,9.4
576,Beqarare Dil Tu Gaye Ja,1971,Door Ka Rahi,3:58,retro song,https://gaana.com/song/beqarar-dil-tu-gaaye-ja,HINDI,Other,Kishor Kumar,8.4
